Project Name,Directorate,Project  Estimated Completion Date,Project Classification,Category (Construction/Design/Early Planning/ICT/Plant & Equipment ),Project Type,Government Priority,Region ,2017-18 Budgeted Financing ($'000),2018-19 Budgeted Financing ($'000),2019-20 Budgeted Financing ($'000),2020-21 Budgeted Financing ($'000),Total Budgeted Financing ($'000),2016-17 Re-profiling ($'000) ,2017-18 Re-profiling ($'000) ,2018-19 Re-profiling ($'000) ,2019-20 Re-profiling ($'000) ,2020-21 Re-profiling ($'000) ,2015-16Section 16(b) Rollovers of unspent funds ($'000),2016-17 Variations ($'000),2016-17 Savings returned to Budget ($'000) ,Total Financing 2016-17 ($'000),Budget
University of Canberra Public Hospital Car Park ,Health Directorate,31 March 2018,Works-in-progress,Grant,Health Services,Better care when you need it,Belconnen,10200,0,0,0,10200,-10200,10200,0,0,0,0,0,0,1000,ACT Budget 2017-18
Upgrade and Expansion of Audio System,Office of the Legislative Assembly,31 July 2017,Works-in-progress,ICT,Economic Growth,Better services in your community,Canberra Central,0,0,0,0,0,0,0,0,0,0,84,218,0,302,ACT Budget 2017-18
Molonglo Valley – Finalisation of Stage 2 and Commencement of Stage 3 Planning (Early Planning),Environment Planning and Sustainable Development Directorate,30 June 2017,Works-in-progress,Early Planning,Urban Infrastructure,Building a better city,Woden,0,0,0,0,0,0,0,0,0,0,0,0,0,163,ACT Budget 2017-18
Urban Renewal Program – Acton – Sullivans Creek cycle path,Transport Canberra and City Services Directorate,30 April 2017,Works-in-progress,Construction,Public Transport and Active Travel,Building a better city,Canberra Central,0,0,0,0,0,0,0,0,0,0,228,0,0,1087,ACT Budget 2017-18
Traffic Cameras Replacement,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Plant & Equipment ,,,,0,0,0,0,0,0,0,0,0,0,13,0,-13,0,ACT Budget 2017-18
Molonglo Valley – Implementation of Commitments in the NES Plan,Environment Planning and Sustainable Development Directorate,30 June 2018,Works-in-progress,Early Planning,Environmental Measures,Better services in your community,Woden,100,0,0,0,100,0,0,0,0,0,0,0,0,100,ACT Budget 2017-18
Tuggeranong Lakeside Leisure Centre – Water play park,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,155,0,-155,0,ACT Budget 2017-18
Molonglo Valley – Implementation of Commitments in the NES Plan – Stage 2,Environment Planning and Sustainable Development Directorate,30 June 2018,Works-in-progress,Construction,Environmental Measures,Better services in your community,Woden,902,0,0,0,902,-100,100,0,0,0,216,0,0,1112,ACT Budget 2017-18
Upgrade of Commonwealth Park - Floriade,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,191,0,-191,0,ACT Budget 2017-18
Upgrade of Early Childhood Facilities,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,24,0,-24,0,ACT Budget 2017-18
