Project Name,Directorate,Project  Estimated Completion Date,Project Classification,Category (Construction/Design/Early Planning/ICT/Plant & Equipment ),Project Type,Government Priority,Region ,2017-18 Budgeted Financing ($'000),2018-19 Budgeted Financing ($'000),2019-20 Budgeted Financing ($'000),2020-21 Budgeted Financing ($'000),Total Budgeted Financing ($'000),2016-17 Re-profiling ($'000) ,2017-18 Re-profiling ($'000) ,2018-19 Re-profiling ($'000) ,2019-20 Re-profiling ($'000) ,2020-21 Re-profiling ($'000) ,2015-16Section 16(b) Rollovers of unspent funds ($'000),2016-17 Variations ($'000),2016-17 Savings returned to Budget ($'000) ,Total Financing 2016-17 ($'000),Budget
Building a better city – Upgrading stormwater infrastructure on Flemington Road,Transport Canberra and City Services Directorate,30 June 2019,New Works,Early Planning,Urban Infrastructure,Building a better city,Gungahlin,150,850,0,0,1000,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Building a better city – Gundaroo Drive duplication – Stage 2,Transport Canberra and City Services Directorate,30 June 2020,New Works,Construction,Major Roads,Building a better city,Gungahlin,5000,15000,10000,0,30000,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better services in your community – More local parks,Transport Canberra and City Services Directorate,30 June 2018,New Works,Construction,Community Services,Better services in your community,Whole of Canberra,100,0,0,0,100,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better services in your community – Integrated bus and light rail ticketing,Transport Canberra and City Services Directorate,30 June 2018,New Works,ICT,Public Transport and Active Travel,Better services in your community,Whole of Canberra,2100,0,0,0,2100,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Building a better city – Light Rail Stage 2 – City to Woden – Design and procurement,Transport Canberra and City Services Directorate,30 June 2018,New Works,Early Planning,Urban Infrastructure,Building a better city,Woden,3267,0,0,0,3267,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
West Belconnen – Roads and Traffic (Early Planning),"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Works-in-progress,Early Planning,Urban Roads,Building a better city,Belconnen,0,0,0,0,0,0,0,0,0,0,0,0,0,59,ACT Budget 2017-18
Building a better city – City Renewal Authority –  City to the Lake ,City Renewal Authority ,30 June 2020,New Works,Construction,Urban Infrastructure,Building a better city,Canberra Central,7500,15000,14888,0,37388,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
"West Belconnen – Stormwater, Hydraulic and Utility Services (Feasibility)","Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,-100,0,100,0,ACT Budget 2017-18
Woden Bus Interchange –  Early Works,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,-23,0,23,0,ACT Budget 2017-18
Better services in your community – Rehabilitating landfill sites,Transport Canberra and City Services Directorate,30 June 2021,New Works,Construction,Environmental Measures,Better services in your community,Whole of Canberra,3544,5552,17427,8322,34845,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better services in your community – Essential waste management infrastructure,Transport Canberra and City Services Directorate,30 June 2021,New Works,Construction,Environmental Measures,Better services in your community,Whole of Canberra,6070,14922,2276,2023,25291,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Woden Bus Interchange – Redevelopment Stage 1,"Chief Minister, Treasury and Economic Development Directorate",31 December 2016,Works-in-progress,Construction,Public Transport and Active Travel,Better services in your community,Woden,0,0,0,0,0,0,0,0,0,0,688,0,0,2320,ACT Budget 2017-18
Work cover Integration (ISIS) - OHS IBS System,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,ICT,,,,0,0,0,0,0,0,0,0,0,0,-27,0,27,0,ACT Budget 2017-18
Woden Bus Interchange Redevelopment,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,-76,0,76,0,ACT Budget 2017-18
Urban Renewal Program – Better Public Housing – Red Hill housing precinct,Environment Planning and Sustainable Development Directorate,31 May 2018,Works-in-progress,Construction,Public Housing,Better support when it matters,Canberra Central,2300,0,0,0,2300,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Urban Renewal Program – City to the Lake – West Basin infrastructure,Environment Planning and Sustainable Development Directorate,30 June 2018,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Canberra Central,7500,0,0,0,7500,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Urban Renewal Program – Civic and Braddon public realm improvements,Environment Planning and Sustainable Development Directorate,30 June 2018,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Canberra Central,1050,0,0,0,1050,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better care when you need it – University of Canberra Public Hospital operational readiness,Health Directorate,30 June 2018,New Works,Plant & Equipment ,Health Services,Better care when you need it,Belconnen,376,0,0,0,376,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
"Better care when you need it – More mobile dental clinics
",Health Directorate,30 June 2018,New Works,Plant & Equipment ,Health Services,Better care when you need it,Whole of Canberra,985,0,0,0,985,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better support when it matters – Enhanced protective security measures for ACT Policing ,Justice and Community Safety Directorate,30 June 2019,New Works,Plant & Equipment ,Community Services,Better support when it matters,Whole of Canberra,1006,983,0,0,1989,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Building a better city – Monaro Highway upgrade ,Transport Canberra and City Services Directorate,30 June 2020,New Works,Early Planning,Major Roads,Building a better city,Whole of Canberra,0,1000,1000,0,2000,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Building a better city – Pialligo Avenue duplication ,Transport Canberra and City Services Directorate,30 June 2020,New Works,Construction,Major Roads,Building a better city,Whole of Canberra,0,2000,2000,0,4000,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better services in your community – City services for new communities,Transport Canberra and City Services Directorate,30 June 2017,New Works,Plant & Equipment ,Community Services,Better services in your community,Whole of Canberra,513,0,0,0,513,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
2017–18 Better Infrastructure Fund ,Canberra Institute of Technology,30 June 2018,Better Infrastructure Fund,BIF ,BIF ,Better services in your community,Whole of Canberra,2642,2709,2776,2846,10973,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Woden Valley Stormwater Retardation Basins (Design),"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,Works-in-progress,Design,Urban Infrastructure,Better services in your community,Woden,0,0,0,0,0,-230,230,0,0,0,153,0,0,13,ACT Budget 2017-18
2017–18 Better Infrastructure Fund ,Community Services Directorate,30 June 2018,Better Infrastructure Fund,BIF ,BIF ,Better services in your community,Whole of Canberra,395,405,415,426,1641,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
2017–18 Better Infrastructure Fund ,Cultural Facilities Corporation,30 June 2018,Better Infrastructure Fund,BIF ,BIF ,Better services in your community,Whole of Canberra,398,408,418,428,1652,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Woden Valley Stormwater Retardation Basins (Design),Environment Planning and Sustainable Development Directorate,31 December 2017,Works-in-progress,Design,Urban Infrastructure,Better services in your community,Woden,230,0,0,0,230,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
2017–18 Better Infrastructure Fund ,Office of the Legislative Assembly,30 June 2018,Better Infrastructure Fund,BIF ,BIF ,Better services in your community,Whole of Canberra,144,108,278,285,815,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Better schools for our kids – Public school infrastructure upgrades ,Education Directorate,,Better Infrastructure Fund,BIF ,BIF ,Better schools for our kids,Whole of Canberra,20700,21100,21400,21800,85000,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Woden/Weston Creek Community Hub (Early Planning and Forward Design),"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Works-in-progress,Design,Urban Infrastructure,Better services in your community,Woden,0,0,0,0,0,0,0,0,0,0,0,0,0,251,ACT Budget 2017-18
Work cover Integration (ISIS) – OHS IBS System,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Works-in-progress,ICT,Economic Growth,More and better jobs,Whole of Canberra,0,0,0,0,0,0,0,0,0,0,-27,0,27,0,ACT Budget 2017-18
Working with Vulnerable People Checks,"Chief Minister, Treasury and Economic Development Directorate",,Works-in-progress,ICT,Community Services,Better services in your community,Whole of Canberra,992,313,313,313,1931,-679,679,0,0,0,595,0,0,832,ACT Budget 2017-18
Wright Outer Asset Protection Zone – Stromlo Forest Park,"Chief Minister, Treasury and Economic Development Directorate",30 June 2016,Completed Project ,Construction,,,,0,0,0,0,0,0,0,0,0,0,106,0,-106,0,ACT Budget 2017-18
Yarralumla – Canberra Brickworks Site Remediation,"Chief Minister, Treasury and Economic Development Directorate",31 May 2017,Works-in-progress,Construction,Urban Infrastructure,Building a better city,Canberra Central,0,0,0,0,0,0,0,0,0,0,30,0,0,30,ACT Budget 2017-18
Victims of Crime Financial Assistance Scheme Reforms,Justice and Community Safety Directorate,30 June 2017,Works-in-progress,Construction,Community Services,Better support when it matters,Canberra Central,0,0,0,0,0,0,0,0,0,0,68,0,0,10,ACT Budget 2017-18
Better schools for our kids – Narrabunda College and Campbell Primary School,Education Directorate,30 June 2018,New Works,Construction,Education,Better schools for our kids,Canberra Central,1200,0,0,0,1200,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
Walk in centres and inner north community Health infrastructure ,Health Directorate,30 June 2018,Works-in-progress,Construction,Health Services,Better care when you need it,Canberra Central,0,0,0,0,0,0,0,0,0,0,0,825,0,825,ACT Budget 2017-18
More and better jobs - Improving services through better data analytics,"Chief Minister, Treasury and Economic Development Directorate",30 June 2018,New Works,ICT,Economic Growth,More and better jobs,Whole of Canberra,633,0,0,0,633,0,0,0,0,0,0,0,0,0,ACT Budget 2017-18
