"MB_CODE_2011","LGA_CODE_2011","LGA_NAME_2011","STATE_CODE_2011","STATE_NAME_2011","AREA_ALBERS_SQKM"
"80000860000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0288294
"80000870000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0313592
"80000880000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0276168
"80000890000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0221228
"80000900000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0216961
"80000910000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0263454
"80000920000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0332761
"80000930000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0380289
"80000940000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0201135
"80000950000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0311459
"80000960000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0192893
"80000970000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0271899
"80000980000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0396026
"80000990000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0363649
"80001000000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0167172
"80001020000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00874128
"80001030000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0321334
"80001040000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0223177
"80001050000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0169671
"80001060000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0287346
"80001070000","89399","Unincorporated ACT","8","Australian Capital Territory",0.017041
"80001080000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0392146
"80001090000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0397864
"80001100000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0339134
"80001110000","89399","Unincorporated ACT","8","Australian Capital Territory",0.010336
"80001121000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0223408
"80001122000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0102896
"80001130000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0450512
"80001140000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0113885
"80001150000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0159864
"80001160000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0311153
"80001170000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00347824
"80001180000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0339277
"80001190000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0266762
"80001200000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0219753
"80001210000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0285455
"80001221000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0159193
"80001222000","89399","Unincorporated ACT","8","Australian Capital Territory",0.00948129
"80001223000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0151626
"80001230000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0281211
"80001240000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0429062
"80001250000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0447375
"80001270000","89399","Unincorporated ACT","8","Australian Capital Territory",0.034266
"80001280000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0209722
"80001290000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0331725
"80001300000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0261759
"80001310000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0223386
"80001320000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0348885
"80001330000","89399","Unincorporated ACT","8","Australian Capital Territory",0.053384
"80001340000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0249703
"80001350000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0350396
"80001360000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0437018
"80001370000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0327899
"80001380000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0352319
"80001390000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0309396
"80001400000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0305469
"80001410000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0307816
"80001420000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0200559
"80001430000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0349212
"80001440000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0860134
"80001450000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0296728
"80001460000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0548369
"80001470000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0164255
"80001480000","89399","Unincorporated ACT","8","Australian Capital Territory",0.065161
"80001490000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0349478
"80001500000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0517102
"80001510000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0132565
"80001520000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0202782
"80001530000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0480799
"80001540000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0431263
"80001550000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0302867
"80001561000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0155361
"80001562000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0361283
"80001570000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0501654
"80001580000","89399","Unincorporated ACT","8","Australian Capital Territory",0.046693
"80001590000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0601202
"80001600000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0486611
"80001610000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0625447
"80001620000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0693223
"80001640000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0503331
"80001650000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0371344
"80001660000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0322908
"80001670000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0463149
"80001700000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0346483
"80001710000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0469082
"80001730000","89399","Unincorporated ACT","8","Australian Capital Territory",0.0562969
