Census,School Name,Category,Year Level,Students
01 February 2011,Fadden Primary School, Public,Year 2,40
01 February 2011,Fadden Primary School, Public,Year 3,40
01 February 2011,Fadden Primary School, Public,Year 4,33
01 February 2011,Fadden Primary School, Public,Year 5,38
01 February 2011,Fadden Primary School, Public,Year 6,40
01 February 2011,Farrer Primary School, Public,Preschool,49
01 February 2011,Farrer Primary School, Public,Kindergarten ,44
01 February 2011,Farrer Primary School, Public,Year 1,33
01 February 2011,Farrer Primary School, Public,Year 2,42
01 February 2011,Farrer Primary School, Public,Year 3,34
01 February 2011,Farrer Primary School, Public,Year 4,42
01 February 2011,Farrer Primary School, Public,Year 5,50
01 February 2011,Farrer Primary School, Public,Year 6,42
01 February 2011,Florey Primary School, Public,Preschool,81
01 February 2011,Florey Primary School, Public,Kindergarten ,56
01 February 2011,Florey Primary School, Public,Year 1,61
01 February 2011,Florey Primary School, Public,Year 2,50
01 February 2011,Florey Primary School, Public,Year 3,40
01 February 2011,Florey Primary School, Public,Year 4,35
01 February 2011,Florey Primary School, Public,Year 5,53
01 February 2011,Florey Primary School, Public,Year 6,45
01 February 2011,Forrest Primary School, Public,Preschool,37
01 February 2011,Forrest Primary School, Public,Kindergarten ,57
01 February 2011,Forrest Primary School, Public,Year 1,66
01 February 2011,Forrest Primary School, Public,Year 2,56
01 February 2011,Forrest Primary School, Public,Year 3,65
01 February 2011,Forrest Primary School, Public,Year 4,68
01 February 2011,Forrest Primary School, Public,Year 5,69
01 February 2011,Forrest Primary School, Public,Year 6,71
01 February 2011,Fraser Primary School, Public,Preschool,59
01 February 2011,Fraser Primary School, Public,Kindergarten ,58
01 February 2011,Fraser Primary School, Public,Year 1,47
01 February 2011,Fraser Primary School, Public,Year 2,52
01 February 2011,Fraser Primary School, Public,Year 3,51
01 February 2011,Fraser Primary School, Public,Year 4,57
01 February 2011,Fraser Primary School, Public,Year 5,42
01 February 2011,Fraser Primary School, Public,Year 6,50
01 February 2011,Garran Primary School, Public,Preschool,40
01 February 2011,Garran Primary School, Public,Kindergarten ,67
01 February 2011,Garran Primary School, Public,Year 1,65
01 February 2011,Garran Primary School, Public,Year 2,82
01 February 2011,Garran Primary School, Public,Year 3,68
01 February 2011,Garran Primary School, Public,Year 4,76
01 February 2011,Garran Primary School, Public,Year 5,59
01 February 2011,Garran Primary School, Public,Year 6,52
01 February 2011,Gilmore Primary School, Public,Preschool,42
01 February 2011,Gilmore Primary School, Public,Kindergarten ,35
01 February 2011,Gilmore Primary School, Public,Year 1,23
01 February 2011,Gilmore Primary School, Public,Year 2,30
01 February 2011,Gilmore Primary School, Public,Year 3,29
01 February 2011,Gilmore Primary School, Public,Year 4,18
01 February 2011,Gilmore Primary School, Public,Year 5,34
01 February 2011,Gilmore Primary School, Public,Year 6,30
01 February 2011,Giralang Primary School, Public,Preschool,31
01 February 2011,Giralang Primary School, Public,Kindergarten ,29
01 February 2011,Giralang Primary School, Public,Year 1,25
01 February 2011,Giralang Primary School, Public,Year 2,23
01 February 2011,Giralang Primary School, Public,Year 3,18
01 February 2011,Giralang Primary School, Public,Year 4,13
01 February 2011,Giralang Primary School, Public,Year 5,14
01 February 2011,Giralang Primary School, Public,Year 6,19
01 February 2011,Gold Creek School, Public,Preschool,133
01 February 2011,Gold Creek School, Public,Kindergarten ,55
01 February 2011,Gold Creek School, Public,Year 1,47
01 February 2011,Gold Creek School, Public,Year 2,49
01 February 2011,Gold Creek School, Public,Year 3,55
01 February 2011,Gold Creek School, Public,Year 4,56
01 February 2011,Gold Creek School, Public,Year 5,52
01 February 2011,Gold Creek School, Public,Year 6,80
01 February 2011,Gold Creek School, Public,Year 7,120
01 February 2011,Gold Creek School, Public,Year 8,157
01 February 2011,Gold Creek School, Public,Year 9,153
01 February 2011,Gold Creek School, Public,Year 10,141
01 February 2011,Gordon Primary School, Public,Preschool,139
01 February 2011,Gordon Primary School, Public,Kindergarten ,66
01 February 2011,Gordon Primary School, Public,Year 1,47
01 February 2011,Gordon Primary School, Public,Year 2,49
01 February 2011,Gordon Primary School, Public,Year 3,42
01 February 2011,Gordon Primary School, Public,Year 4,47
01 February 2011,Gordon Primary School, Public,Year 5,52
01 February 2011,Gordon Primary School, Public,Year 6,54
01 February 2011,Gowrie Primary School, Public,Preschool,41
01 February 2011,Gowrie Primary School, Public,Kindergarten ,27
01 February 2011,Gowrie Primary School, Public,Year 1,30
01 February 2011,Gowrie Primary School, Public,Year 2,25
01 February 2011,Gowrie Primary School, Public,Year 3,33
01 February 2011,Gowrie Primary School, Public,Year 4,18
01 February 2011,Gowrie Primary School, Public,Year 5,33
01 February 2011,Gowrie Primary School, Public,Year 6,34
01 February 2011,Gungahlin College, Public,Year 11,308
01 February 2011,Harrison School, Public,Preschool,145
01 February 2011,Harrison School, Public,Kindergarten ,140
01 February 2011,Harrison School, Public,Year 1,112
01 February 2011,Harrison School, Public,Year 2,126
01 February 2011,Harrison School, Public,Year 3,96
01 February 2011,Harrison School, Public,Year 4,69
01 February 2011,Harrison School, Public,Year 5,80
01 February 2011,Harrison School, Public,Year 6,67
01 February 2011,Harrison School, Public,Year 7,39
01 February 2011,Hawker College, Public,Year 11,369
01 February 2011,Hawker College, Public,Year 12,366
01 February 2011,Hawker Primary School, Public,Preschool,47
01 February 2011,Hawker Primary School, Public,Kindergarten ,43
01 February 2011,Hawker Primary School, Public,Year 1,49
01 February 2011,Hawker Primary School, Public,Year 2,43
01 February 2011,Hawker Primary School, Public,Year 3,31
01 February 2011,Hawker Primary School, Public,Year 4,49
01 February 2011,Hawker Primary School, Public,Year 5,32
01 February 2011,Hawker Primary School, Public,Year 6,42
01 February 2011,Hughes Primary School, Public,Preschool,39
01 February 2011,Hughes Primary School, Public,Kindergarten ,27
01 February 2011,Hughes Primary School, Public,Year 1,34
01 February 2011,Hughes Primary School, Public,Year 2,37
01 February 2011,Hughes Primary School, Public,Year 3,25
01 February 2011,Hughes Primary School, Public,Year 4,27
01 February 2011,Hughes Primary School, Public,Year 5,31
01 February 2011,Hughes Primary School, Public,Year 6,31
01 February 2011,Hughes Primary School IEC, Public,Kindergarten ,24
01 February 2011,Hughes Primary School IEC, Public,Year 1,6
01 February 2011,Hughes Primary School IEC, Public,Year 2,8
01 February 2011,Hughes Primary School IEC, Public,Year 3,12
01 February 2011,Hughes Primary School IEC, Public,Year 4,7
01 February 2011,Hughes Primary School IEC, Public,Year 5,7
01 February 2011,Hughes Primary School IEC, Public,Year 6,5
01 February 2011,Isabella Plains Early Childhood School, Public,Preschool,65
01 February 2011,Isabella Plains Early Childhood School, Public,Kindergarten ,42
01 February 2011,Isabella Plains Early Childhood School, Public,Year 1,22
01 February 2011,Isabella Plains Early Childhood School, Public,Year 2,15
01 February 2011,Jervis Bay Primary School, Public,Preschool,22
01 February 2011,Jervis Bay Primary School, Public,Kindergarten ,9
01 February 2011,Jervis Bay Primary School, Public,Year 1,6
01 February 2011,Jervis Bay Primary School, Public,Year 2,8
01 February 2011,Jervis Bay Primary School, Public,Year 3,10
01 February 2011,Jervis Bay Primary School, Public,Year 4,5
01 February 2011,Jervis Bay Primary School, Public,Year 5,11
01 February 2011,Jervis Bay Primary School, Public,Year 6,8
01 February 2011,Kaleen Primary School, Public,Preschool,80
01 February 2011,Kaleen Primary School, Public,Kindergarten ,60
01 February 2011,Kaleen Primary School, Public,Year 1,64
01 February 2011,Kaleen Primary School, Public,Year 2,47
01 February 2011,Kaleen Primary School, Public,Year 3,70
01 February 2011,Kaleen Primary School, Public,Year 4,66
01 February 2011,Kaleen Primary School, Public,Year 5,69
01 February 2011,Kaleen Primary School, Public,Year 6,67
01 February 2011,Kingsford Smith School, Public,Preschool,71
01 February 2011,Kingsford Smith School, Public,Kindergarten ,90
01 February 2011,Kingsford Smith School, Public,Year 1,72
01 February 2011,Kingsford Smith School, Public,Year 2,77
01 February 2011,Kingsford Smith School, Public,Year 3,50
01 February 2011,Kingsford Smith School, Public,Year 4,69
01 February 2011,Kingsford Smith School, Public,Year 5,67
01 February 2011,Kingsford Smith School, Public,Year 6,68
01 February 2011,Kingsford Smith School, Public,Year 7,91
01 February 2011,Kingsford Smith School, Public,Year 8,125
01 February 2011,Kingsford Smith School, Public,Year 9,104
01 February 2011,Kingsford Smith School Koori Program, Public,Preschool,8
01 February 2011,Lake Tuggeranong College, Public,Year 11,457
01 February 2011,Lake Tuggeranong College, Public,Year 12,348
01 February 2011,Lake Tuggeranong College Connect 10, Public,Year 10,14
01 February 2011,Lanyon High School, Public,Year 7,122
01 February 2011,Lanyon High School, Public,Year 8,147
01 February 2011,Lanyon High School, Public,Year 9,144
01 February 2011,Lanyon High School, Public,Year 10,148
01 February 2011,Latham Primary School, Public,Preschool,43
01 February 2011,Latham Primary School, Public,Kindergarten ,41
01 February 2011,Latham Primary School, Public,Year 1,33
01 February 2011,Latham Primary School, Public,Year 2,33
01 February 2011,Latham Primary School, Public,Year 3,41
01 February 2011,Latham Primary School, Public,Year 4,30
01 February 2011,Latham Primary School, Public,Year 5,35
01 February 2011,Latham Primary School, Public,Year 6,29
01 February 2011,Lyneham High School, Public,Year 7,269
01 February 2011,Lyneham High School, Public,Year 8,257
01 February 2011,Lyneham High School, Public,Year 9,254
01 February 2011,Lyneham High School, Public,Year 10,255
01 February 2011,Lyneham Primary School, Public,Preschool,54
01 February 2011,Lyneham Primary School, Public,Kindergarten ,59
01 February 2011,Lyneham Primary School, Public,Year 1,33
01 February 2011,Lyneham Primary School, Public,Year 2,53
01 February 2011,Lyneham Primary School, Public,Year 3,38
01 February 2011,Lyneham Primary School, Public,Year 4,57
01 February 2011,Lyneham Primary School, Public,Year 5,57
01 February 2011,Lyneham Primary School, Public,Year 6,61
01 February 2011,Lyons Early Childhood School, Public,Preschool,41
01 February 2011,Lyons Early Childhood School, Public,Kindergarten ,37
01 February 2011,Lyons Early Childhood School, Public,Year 1,8
01 February 2011,Lyons Early Childhood School, Public,Year 2,8
01 February 2011,Macgregor Primary School, Public,Preschool,78
01 February 2011,Macgregor Primary School, Public,Kindergarten ,60
01 February 2011,Macgregor Primary School, Public,Year 1,60
01 February 2011,Macgregor Primary School, Public,Year 2,32
01 February 2011,Macgregor Primary School, Public,Year 3,54
01 February 2011,Macgregor Primary School, Public,Year 4,47
01 February 2011,Macgregor Primary School, Public,Year 5,44
01 February 2011,Macgregor Primary School, Public,Year 6,39
01 February 2011,Macquarie Primary School, Public,Preschool,49
01 February 2011,Macquarie Primary School, Public,Kindergarten ,36
01 February 2011,Macquarie Primary School, Public,Year 1,35
01 February 2011,Macquarie Primary School, Public,Year 2,38
01 February 2011,Macquarie Primary School, Public,Year 3,30
01 February 2011,Macquarie Primary School, Public,Year 4,27
01 February 2011,Macquarie Primary School, Public,Year 5,47
01 February 2011,Macquarie Primary School, Public,Year 6,29
01 February 2011,Majura Primary School, Public,Preschool,99
01 February 2011,Majura Primary School, Public,Kindergarten ,74
01 February 2011,Majura Primary School, Public,Year 1,78
01 February 2011,Majura Primary School, Public,Year 2,73
01 February 2011,Majura Primary School, Public,Year 3,70
01 February 2011,Majura Primary School, Public,Year 4,57
01 February 2011,Majura Primary School, Public,Year 5,63
01 February 2011,Majura Primary School, Public,Year 6,40
01 February 2011,Malkara School, Public,Preschool,26
01 February 2011,Malkara School, Public,Kindergarten ,7
01 February 2011,Malkara School, Public,Year 1,12
01 February 2011,Malkara School, Public,Year 2,8
01 February 2011,Malkara School, Public,Year 3,4
01 February 2011,Malkara School, Public,Year 4,7
01 February 2011,Malkara School, Public,Year 5,10
01 February 2011,Malkara School, Public,Year 6,14
01 February 2011,Maribyrnong Primary School, Public,Preschool,39
01 February 2011,Maribyrnong Primary School, Public,Kindergarten ,27
01 February 2011,Maribyrnong Primary School, Public,Year 1,31
01 February 2011,Maribyrnong Primary School, Public,Year 2,38
01 February 2011,Maribyrnong Primary School, Public,Year 3,30
01 February 2011,Maribyrnong Primary School, Public,Year 4,23
01 February 2011,Maribyrnong Primary School, Public,Year 5,38
01 February 2011,Maribyrnong Primary School, Public,Year 6,27
01 February 2011,Mawson Primary School, Public,Preschool,39
01 February 2011,Mawson Primary School, Public,Kindergarten ,29
01 February 2011,Mawson Primary School, Public,Year 1,24
01 February 2011,Mawson Primary School, Public,Year 2,25
01 February 2011,Mawson Primary School, Public,Year 3,22
01 February 2011,Mawson Primary School, Public,Year 4,16
01 February 2011,Mawson Primary School, Public,Year 5,21
01 February 2011,Mawson Primary School, Public,Year 6,21
01 February 2011,Melba Copland Secondary School, Public,Year 7,135
01 February 2011,Melba Copland Secondary School, Public,Year 8,130
01 February 2011,Melba Copland Secondary School, Public,Year 9,129
01 February 2011,Melba Copland Secondary School, Public,Year 10,193
01 February 2011,Melba Copland Secondary School, Public,Year 11,129
01 February 2011,Melba Copland Secondary School, Public,Year 12,178
01 February 2011,Melrose High School, Public,Year 7,170
01 February 2011,Melrose High School, Public,Year 8,208
01 February 2011,Melrose High School, Public,Year 9,203
01 February 2011,Melrose High School, Public,Year 10,202
01 February 2011,Miles Franklin Primary School, Public,Preschool,92
01 February 2011,Miles Franklin Primary School, Public,Kindergarten ,49
01 February 2011,Miles Franklin Primary School, Public,Year 1,56
01 February 2011,Miles Franklin Primary School, Public,Year 2,55
01 February 2011,Miles Franklin Primary School, Public,Year 3,42
01 February 2011,Miles Franklin Primary School, Public,Year 4,58
01 February 2011,Miles Franklin Primary School, Public,Year 5,56
01 February 2011,Miles Franklin Primary School, Public,Year 6,35
01 February 2011,Monash Primary School, Public,Preschool,80
01 February 2011,Monash Primary School, Public,Kindergarten ,60
01 February 2011,Monash Primary School, Public,Year 1,53
01 February 2011,Monash Primary School, Public,Year 2,65
01 February 2011,Monash Primary School, Public,Year 3,50
01 February 2011,Monash Primary School, Public,Year 4,50
01 February 2011,Monash Primary School, Public,Year 5,57
01 February 2011,Monash Primary School, Public,Year 6,54
01 February 2011,Mount Rogers Primary School, Public,Preschool,90
01 February 2011,Mount Rogers Primary School, Public,Kindergarten ,58
01 February 2011,Mount Rogers Primary School, Public,Year 1,35
01 February 2011,Mount Rogers Primary School, Public,Year 2,45
01 February 2011,Mount Rogers Primary School, Public,Year 3,28
01 February 2011,Mount Rogers Primary School, Public,Year 4,25
01 February 2011,Mount Rogers Primary School, Public,Year 5,24
01 February 2011,Mount Rogers Primary School, Public,Year 6,24
01 February 2011,Namadgi School, Public,Preschool,101
01 February 2011,Namadgi School, Public,Kindergarten ,51
01 February 2011,Namadgi School, Public,Year 1,40
01 February 2011,Namadgi School, Public,Year 2,35
01 February 2011,Namadgi School, Public,Year 3,42
01 February 2011,Namadgi School, Public,Year 4,42
01 February 2011,Namadgi School, Public,Year 5,40
01 February 2011,Namadgi School, Public,Year 6,38
01 February 2011,Namadgi School, Public,Year 7,55
01 February 2011,Namadgi School IEC, Public,Kindergarten ,12
01 February 2011,Namadgi School IEC, Public,Year 1,6
01 February 2011,Namadgi School IEC, Public,Year 2,3
01 February 2011,Namadgi School IEC, Public,Year 3,4
01 February 2011,Namadgi School IEC, Public,Year 4,3
01 February 2011,Namadgi School IEC, Public,Year 5,1
01 February 2011,Namadgi School IEC, Public,Year 6,3
01 February 2011,Narrabundah College, Public,Year 11,500
01 February 2011,Narrabundah College, Public,Year 12,450
01 February 2011,Narrabundah Early Childhood School, Public,Preschool,58
01 February 2011,Narrabundah Early Childhood School, Public,Kindergarten ,25
01 February 2011,Narrabundah Early Childhood School, Public,Year 1,18
01 February 2011,Narrabundah Early Childhood School, Public,Year 2,13
01 February 2011,Narrabundah Early Childhood School Koori Program, Public,Preschool,10
01 February 2011,Ngunnawal Primary School, Public,Preschool,89
01 February 2011,Ngunnawal Primary School, Public,Kindergarten ,87
01 February 2011,Ngunnawal Primary School, Public,Year 1,64
01 February 2011,Ngunnawal Primary School, Public,Year 2,79
01 February 2011,Ngunnawal Primary School, Public,Year 3,60
01 February 2011,Ngunnawal Primary School, Public,Year 4,47
01 February 2011,Ngunnawal Primary School, Public,Year 5,60
01 February 2011,Ngunnawal Primary School, Public,Year 6,56
01 February 2011,Ngunnawal Primary School Koori Program, Public,Preschool,11
01 February 2011,North Ainslie Primary School, Public,Preschool,66
01 February 2011,North Ainslie Primary School, Public,Kindergarten ,54
01 February 2011,North Ainslie Primary School, Public,Year 1,49
01 February 2011,North Ainslie Primary School, Public,Year 2,36
01 February 2011,North Ainslie Primary School, Public,Year 3,33
01 February 2011,North Ainslie Primary School, Public,Year 4,36
01 February 2011,North Ainslie Primary School, Public,Year 5,35
01 February 2011,North Ainslie Primary School, Public,Year 6,39
01 February 2011,North Ainslie Primary School IEC, Public,Kindergarten ,27
01 February 2011,North Ainslie Primary School IEC, Public,Year 1,6
01 February 2011,North Ainslie Primary School IEC, Public,Year 2,8
01 February 2011,North Ainslie Primary School IEC, Public,Year 3,6
01 February 2011,North Ainslie Primary School IEC, Public,Year 4,6
01 February 2011,North Ainslie Primary School IEC, Public,Year 5,8
01 February 2011,North Ainslie Primary School IEC, Public,Year 6,2
01 February 2011,O'Connor Cooperative School, Public,Preschool,21
01 February 2011,O'Connor Cooperative School, Public,Kindergarten ,19
01 February 2011,O'Connor Cooperative School, Public,Year 1,19
01 February 2011,O'Connor Cooperative School, Public,Year 2,21
01 February 2011,Palmerston District Primary School, Public,Preschool,83
01 February 2011,Palmerston District Primary School, Public,Kindergarten ,53
01 February 2011,Palmerston District Primary School, Public,Year 1,54
01 February 2011,Palmerston District Primary School, Public,Year 2,53
01 February 2011,Palmerston District Primary School, Public,Year 3,59
01 February 2011,Palmerston District Primary School, Public,Year 4,41
01 February 2011,Palmerston District Primary School, Public,Year 5,53
01 February 2011,Palmerston District Primary School, Public,Year 6,30
01 February 2011,Red Hill Primary School, Public,Preschool,78
01 February 2011,Red Hill Primary School, Public,Kindergarten ,94
01 February 2011,Red Hill Primary School, Public,Year 1,88
01 February 2011,Red Hill Primary School, Public,Year 2,93
01 February 2011,Red Hill Primary School, Public,Year 3,77
01 February 2011,Red Hill Primary School, Public,Year 4,90
01 February 2011,Red Hill Primary School, Public,Year 5,81
01 February 2011,Red Hill Primary School, Public,Year 6,83
01 February 2011,Richardson Primary School, Public,Preschool,37
01 February 2011,Richardson Primary School, Public,Kindergarten ,31
01 February 2011,Richardson Primary School, Public,Year 1,26
01 February 2011,Richardson Primary School, Public,Year 2,23
01 February 2011,Richardson Primary School, Public,Year 3,25
01 February 2011,Richardson Primary School, Public,Year 4,18
01 February 2011,Richardson Primary School, Public,Year 5,26
01 February 2011,Richardson Primary School, Public,Year 6,35
01 February 2011,Richardson Primary School Koori Program, Public,Preschool,15
01 February 2011,Southern Cross Early Childhood School, Public,Preschool,74
01 February 2011,Southern Cross Early Childhood School, Public,Kindergarten ,43
01 February 2011,Southern Cross Early Childhood School, Public,Year 1,19
01 August 2012,Wanniassa School,Public,01,29
01 February 2011,Southern Cross Early Childhood School, Public,Year 2,8
01 February 2011,Stromlo High School, Public,Year 6,33
01 February 2011,Stromlo High School, Public,Year 7,166
01 February 2011,Stromlo High School, Public,Year 8,184
01 February 2011,Stromlo High School, Public,Year 9,161
01 February 2011,Stromlo High School, Public,Year 10,191
01 February 2011,Taylor Primary School, Public,Preschool,42
01 February 2011,Taylor Primary School, Public,Kindergarten ,30
01 February 2011,Taylor Primary School, Public,Year 1,31
01 February 2011,Taylor Primary School, Public,Year 2,28
01 February 2011,Taylor Primary School, Public,Year 3,33
01 February 2011,Taylor Primary School, Public,Year 4,20
01 February 2011,Taylor Primary School, Public,Year 5,20
01 February 2011,Taylor Primary School, Public,Year 6,17
01 February 2011,Telopea Park School, Public,Kindergarten ,63
01 February 2011,Telopea Park School, Public,Year 1,59
01 February 2011,Telopea Park School, Public,Year 2,60
01 February 2011,Telopea Park School, Public,Year 3,51
01 February 2011,Telopea Park School, Public,Year 4,67
01 February 2011,Telopea Park School, Public,Year 5,61
01 February 2011,Telopea Park School, Public,Year 6,57
01 February 2011,Telopea Park School, Public,Year 7,181
01 February 2011,Telopea Park School, Public,Year 8,158
01 February 2011,Telopea Park School, Public,Year 9,191
01 February 2011,Telopea Park School, Public,Year 10,174
01 February 2011,The Canberra College, Public,Year 11,540
01 February 2011,The Canberra College, Public,Year 12,426
01 February 2011,The Canberra College, Public,Older & Mature,2
01 February 2011,The Woden School, Public,Year 7,25
01 February 2011,The Woden School, Public,Year 8,18
01 February 2011,The Woden School, Public,Year 9,15
01 February 2011,The Woden School, Public,Year 10,11
01 February 2011,The Woden School, Public,Year 11,18
01 February 2011,Theodore Primary School, Public,Preschool,48
01 February 2011,Theodore Primary School, Public,Kindergarten ,35
01 February 2011,Theodore Primary School, Public,Year 1,38
01 February 2011,Theodore Primary School, Public,Year 2,33
01 February 2011,Theodore Primary School, Public,Year 3,35
01 February 2011,Theodore Primary School, Public,Year 4,38
01 February 2011,Theodore Primary School, Public,Year 5,39
01 February 2011,Theodore Primary School, Public,Year 6,44
01 February 2011,Torrens Primary School, Public,Preschool,72
01 February 2011,Torrens Primary School, Public,Kindergarten ,56
01 February 2011,Torrens Primary School, Public,Year 1,55
01 February 2011,Torrens Primary School, Public,Year 2,61
01 February 2011,Torrens Primary School, Public,Year 3,55
01 February 2011,Torrens Primary School, Public,Year 4,52
01 February 2011,Torrens Primary School, Public,Year 5,60
01 February 2011,Torrens Primary School, Public,Year 6,49
01 February 2011,Turner School, Public,Preschool,70
01 February 2011,Turner School, Public,Kindergarten ,69
01 February 2011,Turner School, Public,Year 1,57
01 February 2011,Turner School, Public,Year 2,65
01 February 2011,Turner School, Public,Year 3,63
01 February 2011,Turner School, Public,Year 4,74
01 February 2011,Turner School, Public,Year 5,58
01 February 2011,Turner School, Public,Year 6,72
01 February 2011,University of Canberra High School Kaleen, Public,Year 7,61
01 February 2011,University of Canberra High School Kaleen, Public,Year 8,37
01 February 2011,University of Canberra High School Kaleen, Public,Year 9,54
01 February 2011,University of Canberra High School Kaleen, Public,Year 10,56
01 February 2011,University of Canberra Senior Secondary College Lake Ginninderra, Public,Year 11,245
01 February 2011,University of Canberra Senior Secondary College Lake Ginninderra, Public,Year 12,324
01 February 2011,University of Canberra Senior Secondary College Lake Ginninderra Connect 10, Public,Year 9,2
01 February 2011,University of Canberra Senior Secondary College Lake Ginninderra Connect 10, Public,Year 10,14
01 February 2011,Wanniassa Hills Primary School, Public,Preschool,61
01 February 2011,Wanniassa Hills Primary School, Public,Kindergarten ,61
01 February 2011,Wanniassa Hills Primary School, Public,Year 1,55
01 February 2011,Wanniassa Hills Primary School, Public,Year 2,49
01 February 2011,Wanniassa Hills Primary School, Public,Year 3,49
01 February 2011,Wanniassa Hills Primary School, Public,Year 4,40
01 February 2011,Wanniassa Hills Primary School, Public,Year 5,57
01 February 2011,Wanniassa Hills Primary School, Public,Year 6,47
01 February 2011,Wanniassa School, Public,Preschool,41
01 February 2011,Wanniassa School, Public,Kindergarten ,31
01 February 2011,Wanniassa School, Public,Year 1,27
01 February 2011,Wanniassa School, Public,Year 2,27
01 February 2011,Wanniassa School, Public,Year 3,30
01 February 2011,Wanniassa School, Public,Year 4,28
01 February 2011,Wanniassa School, Public,Year 5,35
01 February 2011,Wanniassa School, Public,Year 6,35
01 February 2011,Wanniassa School, Public,Year 7,49
01 February 2011,Wanniassa School, Public,Year 8,60
01 February 2011,Wanniassa School, Public,Year 9,78
01 February 2011,Wanniassa School, Public,Year 10,84
01 February 2011,Wanniassa School Koori Program, Public,Preschool,13
01 February 2011,Weetangera Primary School, Public,Preschool,64
01 February 2011,Weetangera Primary School, Public,Kindergarten ,57
01 February 2011,Weetangera Primary School, Public,Year 1,50
01 February 2011,Weetangera Primary School, Public,Year 2,62
01 February 2011,Weetangera Primary School, Public,Year 3,46
01 February 2011,Weetangera Primary School, Public,Year 4,45
01 February 2011,Weetangera Primary School, Public,Year 5,42
01 February 2011,Weetangera Primary School, Public,Year 6,45
01 February 2011,Yarralumla Primary School, Public,Preschool,64
01 February 2011,Yarralumla Primary School, Public,Kindergarten ,53
01 February 2011,Yarralumla Primary School, Public,Year 1,30
01 February 2011,Yarralumla Primary School, Public,Year 2,31
01 February 2011,Yarralumla Primary School, Public,Year 3,22
01 February 2011,Yarralumla Primary School, Public,Year 4,22
01 February 2011,Yarralumla Primary School, Public,Year 5,10
01 February 2011,Yarralumla Primary School, Public,Year 6,18
01 February 2011,Blue Gum Community School,Non Gov,Preschool,79
01 February 2011,Blue Gum Community School,Non Gov,Kindergarten ,20
01 February 2011,Blue Gum Community School,Non Gov,Year 1,10
01 February 2011,Blue Gum Community School,Non Gov,Year 2,25
01 February 2011,Blue Gum Community School,Non Gov,Year 3,15
01 February 2011,Blue Gum Community School,Non Gov,Year 4,12
01 February 2011,Blue Gum Community School,Non Gov,Year 5,8
01 February 2011,Blue Gum Community School,Non Gov,Year 6,9
01 February 2011,Blue Gum Community School,Non Gov,Year 7,6
01 February 2011,Blue Gum Community School,Non Gov,Year 8,8
01 February 2011,Blue Gum Community School,Non Gov,Year 9,6
01 February 2011,Blue Gum Community School,Non Gov,Year 10,10
01 February 2011,Brindabella Christian College,Non Gov,Kindergarten ,45
01 February 2011,Brindabella Christian College,Non Gov,Year 1,42
01 February 2011,Brindabella Christian College,Non Gov,Year 2,49
01 February 2011,Brindabella Christian College,Non Gov,Year 3,45
01 February 2011,Brindabella Christian College,Non Gov,Year 4,49
01 February 2011,Brindabella Christian College,Non Gov,Year 5,52
01 February 2011,Brindabella Christian College,Non Gov,Year 6,49
01 February 2011,Brindabella Christian College,Non Gov,Year 7,52
01 February 2011,Brindabella Christian College,Non Gov,Year 8,49
01 February 2011,Brindabella Christian College,Non Gov,Year 9,38
01 February 2011,Brindabella Christian College,Non Gov,Year 10,28
01 February 2011,Brindabella Christian College,Non Gov,Year 11,17
01 February 2011,Burgmann Anglican School,Non Gov,Preschool,89
01 February 2011,Burgmann Anglican School,Non Gov,Kindergarten ,99
01 February 2011,Burgmann Anglican School,Non Gov,Year 1,104
01 February 2011,Burgmann Anglican School,Non Gov,Year 2,112
01 February 2011,Burgmann Anglican School,Non Gov,Year 3,112
01 February 2011,Burgmann Anglican School,Non Gov,Year 4,112
01 February 2011,Burgmann Anglican School,Non Gov,Year 5,112
01 February 2011,Burgmann Anglican School,Non Gov,Year 6,111
01 February 2011,Burgmann Anglican School,Non Gov,Year 7,112
01 February 2011,Burgmann Anglican School,Non Gov,Year 8,110
01 February 2011,Burgmann Anglican School,Non Gov,Year 9,109
01 February 2011,Burgmann Anglican School,Non Gov,Year 10,110
01 February 2011,Burgmann Anglican School,Non Gov,Year 11,88
01 February 2011,Burgmann Anglican School,Non Gov,Year 12,92
01 February 2011,Canberra Christian School,Non Gov,Preschool,10
01 February 2011,Canberra Christian School,Non Gov,Kindergarten ,6
01 February 2011,Canberra Christian School,Non Gov,Year 1,5
01 February 2011,Canberra Christian School,Non Gov,Year 2,4
01 February 2011,Canberra Christian School,Non Gov,Year 3,5
01 February 2011,Canberra Christian School,Non Gov,Year 4,6
01 February 2011,Canberra Christian School,Non Gov,Year 5,6
01 February 2011,Canberra Christian School,Non Gov,Year 6,6
01 February 2011,Canberra Girls' Grammar School,Non Gov,Preschool,110
01 February 2011,Canberra Girls' Grammar School,Non Gov,Kindergarten ,59
01 February 2011,Canberra Girls' Grammar School,Non Gov,Year 1,60
01 February 2011,Canberra Girls' Grammar School,Non Gov,Year 2,60
01 February 2011,Canberra Girls' Grammar School,Non Gov,Year 3,78
01 February 2011,Canberra Girls' Grammar School,Non Gov,Year 4,74
01 February 2011,Canberra Girls' Grammar School,Non Gov,Year 5,75
01 February 2011,Canberra Girls' Grammar School,Non Gov,Year 6,74
01 February 2011,Canberra Girls' Grammar School,Non Gov,Year 7,169
01 February 2011,Canberra Girls' Grammar School,Non Gov,Year 8,150
