Census,School Name,Category,Year Level,Students
01 February 2009,Lanyon High School, Public,Year 8,141
01 February 2009,Lanyon High School, Public,Year 9,188
01 February 2009,Lanyon High School, Public,Year 10,150
01 February 2009,Latham Primary School, Public,Preschool,38
01 February 2009,Latham Primary School, Public,Kindergarten ,32
01 February 2009,Latham Primary School, Public,Year 1,38
01 February 2009,Latham Primary School, Public,Year 2,33
01 February 2009,Latham Primary School, Public,Year 3,33
01 February 2009,Latham Primary School, Public,Year 4,27
01 February 2009,Latham Primary School, Public,Year 5,36
01 February 2009,Latham Primary School, Public,Year 6,20
01 February 2009,Lyneham High School, Public,Year 7,238
01 February 2009,Lyneham High School, Public,Year 8,255
01 February 2009,Lyneham High School, Public,Year 9,257
01 February 2009,Lyneham High School, Public,Year 10,249
01 February 2009,Lyneham Primary School, Public,Preschool,41
01 February 2009,Lyneham Primary School, Public,Kindergarten ,50
01 February 2009,Lyneham Primary School, Public,Year 1,44
01 February 2009,Lyneham Primary School, Public,Year 2,61
01 February 2009,Lyneham Primary School, Public,Year 3,58
01 February 2009,Lyneham Primary School, Public,Year 4,66
01 February 2009,Lyneham Primary School, Public,Year 5,57
01 February 2009,Lyneham Primary School, Public,Year 6,61
01 February 2009,Lyons Early Childhood School, Public,Preschool,28
01 February 2009,Lyons Early Childhood School, Public,Kindergarten ,7
01 February 2009,Macgregor Primary School, Public,Preschool,62
01 February 2009,Macgregor Primary School, Public,Kindergarten ,31
01 February 2009,Macgregor Primary School, Public,Year 1,54
01 February 2009,Macgregor Primary School, Public,Year 2,43
01 February 2009,Macgregor Primary School, Public,Year 3,39
01 February 2009,Macgregor Primary School, Public,Year 4,38
01 February 2009,Macgregor Primary School, Public,Year 5,39
01 February 2009,Macgregor Primary School, Public,Year 6,52
01 February 2009,Macquarie Primary School, Public,Preschool,49
01 February 2009,Macquarie Primary School, Public,Kindergarten ,38
01 February 2009,Macquarie Primary School, Public,Year 1,38
01 February 2009,Macquarie Primary School, Public,Year 2,25
01 February 2009,Macquarie Primary School, Public,Year 3,45
01 February 2009,Macquarie Primary School, Public,Year 4,28
01 February 2009,Macquarie Primary School, Public,Year 5,36
01 February 2009,Macquarie Primary School, Public,Year 6,35
01 February 2009,Majura Primary School, Public,Preschool,74
01 February 2009,Majura Primary School, Public,Kindergarten ,78
01 February 2009,Majura Primary School, Public,Year 1,67
01 February 2009,Majura Primary School, Public,Year 2,53
01 February 2009,Majura Primary School, Public,Year 3,55
01 February 2009,Majura Primary School, Public,Year 4,36
01 February 2009,Majura Primary School, Public,Year 5,46
01 February 2009,Majura Primary School, Public,Year 6,38
01 February 2009,Malkara School, Public,Preschool,25
01 February 2009,Malkara School, Public,Kindergarten ,8
01 February 2009,Malkara School, Public,Year 1,2
01 February 2009,Malkara School, Public,Year 2,10
01 February 2009,Malkara School, Public,Year 3,12
01 February 2009,Malkara School, Public,Year 4,14
01 February 2009,Malkara School, Public,Year 5,8
