District,Authorised inspection station,Address,Suburb,Telephone,Latitude,Longitude,Location
Woden,Ikes Motors Pty Ltd,"Unit 1, 14 Dundas Court, Phillip",phillip,6281 0554,-35.353827,149.087866,"(-35.353827000000003, 149.08786599999999)"
Woden,Jaws Automotive,"4 Salamander Court, Phillip",phillip,6285 3455,-35.355784,149.089636,"(-35.355784, 149.08963600000001)"
Woden,Kmart Tyre & Auto Service Phillip,"172 Melrose Drive, Phillip",phillip,6282 7568,-35.350067,149.085087,"(-35.350067000000003, 149.08508699999999)"
Woden,Lennock Motors,"150 Melrose Drive, Phillip",phillip,6282 2022,-35.354456,149.086843,"(-35.354455999999999, 149.08684299999999)"
Woden,Slaven Motors,"140 Melrose Drive, Phillip",phillip,6282 3222,-35.356837,149.087765,"(-35.356836999999999, 149.08776499999999)"
Woden,Ultimate Tunes and Servicing,"4 Bellona Court, Phillip",phillip,6281 1821,-35.355043,149.088366,"(-35.355043000000002, 149.08836600000001)"
Woden,Ultra Tune Phillip,"166 Melrose Drive, Phillip",phillip,6282 2935,-35.350861,149.08543,"(-35.350861000000002, 149.08543)"
Woden,Woden Tyre and Exhaust,"6-8 Botany Street, Phillip",phillip,6282 3410,-35.351151,149.086302,"(-35.351151000000002, 149.08630199999999)"
Mitchell,Braddon Mechanical Repairers/ Londsdale Tyres,"13 - 15 Brookes Street, Mitchell",mitchell,6248 8060,-35.219467,149.140224,"(-35.219467000000002, 149.14022399999999)"
Tuggeranong,Kmart Tyre & Auto Service – Wanniassa,"Shell Coles Express Service Station, Enter off Rylah Crescent, Wanniassa",wanniassa,6129 8106,-35.390145,149.085393,
Queanbeyan,Resort Trailers,"36 Stephens Road, Queanbeyan",queanbeyan,6297 7709 ,-35.348547,149.208787,
