ID,DIVISION,Postcode,LOCATION,IMAGE_LINK,VIDEO_LINK,LATITUDE,LONGITUDE,Location_1
Drfn193,Greenway,2900,Lake Tuggeranong District Park,,,-35.408411,149.069807,"(-35.408411, 149.069807)"
Drfn206,Greenway,2900,Lake Tuggeranong District Park - Dog Park,,,-35.41122,149.071987,"(-35.41122, 149.071987)"
Drfn189,Greenway,2900,Tuggeranong Town Park,,,-35.410768,149.064759,"(-35.410768, 149.064759)"
Drfn191,Greenway,2900,Lake Tuggeranong District Park,,,-35.405203,149.071513,"(-35.405203, 149.071513)"
Drfn216,Greenway,2900,Lake Tuggeranong District Park,,,-35.402842,149.071542,"(-35.402842, 149.071542)"
Drfn190,Greenway,2900,Tuggeranong Town Park,,,-35.409912,149.064475,"(-35.409912, 149.064475)"
Drfn243,Greenway,2900,Reed Street North  Road Verge,,,-35.416443,149.071647,"(-35.416443, 149.071647)"
Drfn192,Greenway,2900,Lake Tuggeranong District Park,,,-35.407251,149.070566,"(-35.407251, 149.070566)"
Drfn153,Gungahlin,2912,Yerrabi District Park,,,-35.178965,149.131005,"(-35.178965, 149.131005)"
Drfn154,Gungahlin,2912,Yerrabi District Park,,,-35.180016,149.129653,"(-35.180016, 149.129653)"
Drfn211,Gungahlin,2912,Yerrabi Pond District Park,,,-35.175079,149.136024,"(-35.175079, 149.136024)"
Drfn250,Gungahlin,2912,Gozzard Street Town Park,,,-35.185458,149.131462,"(-35.185458, 149.131462)"
Drfn259,Gungahlin,2912,Yerrabi District Park,,,-35.17918,149.130323,"(-35.17918, 149.130323)"
Drfn90,Higgins,2615,Higgins Shopping Centre,,,-35.231366,149.027017,"(-35.231366, 149.027017)"
Drfn93,Holt,2615,Holt Shopping Centre,,,-35.224621,149.011627,"(-35.224621, 149.011627)"
Drfn248,Jacka,2914,Appleford Av Pedestrian Parkland,,,-35.15993,149.128659,"(-35.15993, 149.128659)"
Drfn195,Kaleen,2617,Kaleen Shopping Centre (Gwydir Sq),,,-35.234179,149.103303,"(-35.234179, 149.103303)"
Drfn200,Kambah,2902,Kambah Village,,,-35.380113,149.058032,"(-35.380113, 149.058032)"
Drfn162,Kambah,2902,Kambah District Park,,,-35.391977,149.063256,"(-35.391977, 149.063256)"
Drfn266,Kingston,2604,Norgrove Neighbourhood Park,,,-35.316014,149.146927,"(-35.316014, 149.146927)"
Drfn235,Lyons,2606,Lyons Shopping Centre,,,-35.339391,149.076481,"(-35.339391, 149.076481)"
Drfn144,Macquarie,2614,Jamison Shopping Centre,,,-35.253167,149.071876,"(-35.253167, 149.071876)"
Drfn143,Macquarie,2614,Jamison Shopping Centre,,,-35.25265,149.07258,"(-35.25265, 149.07258)"
Drfn157,Monash,2904,Alabaster Street - Neighbourhood Park,,,-35.413778,149.09222,"(-35.413778, 149.09222)"
Drfn265,O'connor,2602,Belconnen Way Pedestrian Parkland,,,-35.259752,149.107684,"(-35.259752, 149.107684)"
Drfn264,O'connor,2602,Belconnen Way Pedestrian Parkland,,,-35.260102,149.10781,"(-35.260102, 149.10781)"
Drfn11,Phillip,2606,Edison District Park,,,-35.34241,149.093898,"(-35.34241, 149.093898)"
Drfn227,Phillip,2606,Eddison District Park,,,-35.339885,149.09113,"(-35.339885, 149.09113)"
Drfn255,Red Hill,2603,Red Hill Shopping Centre,,,-35.341455,149.131148,"(-35.341455, 149.131148)"
Drfn155,Richardson,2905,Casson Street - Neighbourhood Park,,,-35.4235,149.108468,"(-35.4235, 149.108468)"
Drfn6,Torrens,2607,Torrens Shopping Centre,,,-35.373144,149.087479,"(-35.373144, 149.087479)"
Drfn247,Waramanga,2611,Waramanga Shopping Centre,,,-35.352868,149.059246,"(-35.352868, 149.059246)"
Drfn34,Watson,2602,Watson Shopping Centre,,,-35.238664,149.153827,"(-35.238664, 149.153827)"
Drfn179,Weston,2611,Dillon Close Pedestrian Parkland,,,-35.337785,149.05391,"(-35.337785, 149.05391)"
Drfn214,Yarralumla,2600,Alexandrina Drive Pedestrian Parkland,,,-35.298783,149.110624,"(-35.298783, 149.110624)"
Drfn147,Yarralumla,2600,Alexandrina Drive - Pedestrian Parkland,,,-35.30025,149.117151,"(-35.30025, 149.117151)"
Drfn136,Yarralumla,2600,Lennox Gardens,,,-35.298467,149.121792,"(-35.298467, 149.121792)"
Drfn232,Yarralumla,2600,Weston Park Dog Park - Small Dog,,,-35.299059,149.095053,"(-35.299059, 149.095053)"
Drfn231,Yarralumla,2600,Weston Park Dog Park - Large Dog,,,-35.299343,149.09494,"(-35.299343, 149.09494)"
Drfn241,Yarralumla,2600,Weston Park,,,-35.297862,149.092827,"(-35.297862, 149.092827)"
Drfn257,Yarralumla,2600,Yarralumla Bay District Park,,,-35.299381,149.103545,"(-35.299381, 149.103545)"
Drfn261,Yarralumla,2600,Lennox Gardens,,,-35.297477,149.122956,"(-35.297477, 149.122956)"
Drfn203,Yarralumla,2600,Weston Park,,,-35.295687,149.09519,"(-35.295687, 149.09519)"
Drfn151,Yarralumla,2600,Weston Park,,,-35.29185,149.09094,"(-35.29185, 149.09094)"
Drfn213,Yarralumla,2600,Alexandrina Drive Pedestrian Parkland,,,-35.297768,149.109461,"(-35.297768, 149.109461)"
Drfn267,Belconnen,2616,Evelyn Parker Pedestrian Parkland,,,-35.235132,149.065593,"(-35.235132, 149.065593)"
Drfn269,Yarralumla,2600,Weston Park,,,-35.291799,149.090218,"(-35.291799, 149.090218)"
Drfn270,Wright,2611,Dot Butler Street Neighbourhood Park,,,-35.324361,149.037591,"(-35.324361, 149.037591)"
Drfn272,Canberra,2600,Civic Commercial Centre,,,-35.27766,149.130573,"(-35.27766, 149.130573)"
Drfn273,Macquarie,2614,Jamison Shopping Centre,,,-35.253277,149.071555,"(-35.253277, 149.071555)"
Drfn278,Weston,2611,Whitney Place Pedestrian Parkland,,,-35.341286,149.053839,"(-35.341286, 149.053839)"
Drfn279,Wanniassa,2903,Erindale Shopping Centre,,,-35.403497,149.097587,"(-35.403497, 149.097587)"
Drfn275,Phillip,2606,Edison District Park,,,-35.340311,149.091393,"(-35.340311, 149.091393)"
Drfn287,Canberra,2600,Civic Commercial Centre Alinga Street,,,-35.278412,149.130406,"(-35.278412, 149.130406)"
Drfn282,Aranda,2614,Aranda District Playing Field,,,-35.254263,149.079232,"(-35.254263, 149.079232)"
Drfn280,Greenway,2900,Tuggeranong Town Park,,,-35.411146,149.06464,"(-35.411146, 149.06464)"
Drfn284,Downer,2602,Downer Neighbourhood Oval,,,-35.246493,149.143336,"(-35.246493, 149.143336)"
Drfn286,Canberra,2600,Civic Commercial Centre - Petrie Plaza,,,-35.279142,149.132881,"(-35.279142, 149.132881)"
Drfn289,Canberra,2600,Civic Commercial Centre City Walk,,,-35.278952,149.131694,"(-35.278952, 149.131694)"
Drfn276,Phillip,2606,Phillip Town Centre Square,,,-35.344797,149.085648,"(-35.344797, 149.085648)"
Drfn274,Belconnen,2616,Diddams Close Pedestrian Parkland,,,-35.228732,149.074404,"(-35.228732, 149.074404)"
Drfn277,Mawson,2607,Mawson Shopping Centre,,,-35.365337,149.094562,"(-35.365337, 149.094562)"
Drfn281,Rivett,2611,Rivett Neighbourhood Oval,,,-35.346892,149.037659,"(-35.346892, 149.037659)"
Drfn283,Ainslie,2602,Majura Enclosed Oval - Base Ball,,,-35.259751,149.138832,"(-35.259751, 149.138832)"
Drfn288,Canberra,2600,Civic Commercial Centre City Walk,,,-35.279655,149.132212,"(-35.279655, 149.132212)"
Drfn290,Canberra,2600,Ainslie Avenue - Road Median - Road Verge,,,-35.280861,149.131793,"(-35.280861, 149.131793)"
Drfn245,Acton,2601,Black Mountain Peninsula District Park,,,-35.287192,149.101369,"(-35.287192, 149.101369)"
Drfn292,Campbell,2612,Molonglo Reach District Park,,,-35.304592,149.167346,"(-35.304592, 149.167346)"
Drfn293,Gungahlin,2912,Gungahlin Central Linear Park,,,-35.185979,149.134982,"(-35.185979, 149.134982)"
Drfn299,Canberra,2600,Bunda Street Road Verge Civic,,,-35.277451,149.130929,"(-35.277451, 149.130929)"
Drfn297,Canberra,2600,Cnr Childers Street And Rudd Street,,,-35.276913,149.126003,"(-35.276913, 149.126003)"
Drfn301,Canberra,2600,Bunda Street Road Verge Civic,,,-35.278269,149.132888,"(-35.278269, 149.132888)"
Drfn302,Canberra,2600,London Circuit Road Verge Civic,,,-35.280542,149.130988,"(-35.280542, 149.130988)"
Drfn298,Canberra,2600,Mort Street Road Verge,,,-35.277308,149.130708,"(-35.277308, 149.130708)"
Drfn300,Canberra,2600,Bunda Street Road Verge Civic,,,-35.277618,149.130908,"(-35.277618, 149.130908)"
Drfn295,Canberra,2600,Darwin Place Civic,,,-35.280708,149.125582,"(-35.280708, 149.125582)"
Drfn296,Canberra,2600,Alinga Street Road Verge Civic,,,-35.278095,149.127721,"(-35.278095, 149.127721)"
Drfn303,Griffith,2603,Griffith Shopping Centre,,,-35.328458,149.142511,"(-35.328458, 149.142511)"
Drfn304,Charnwood,2615,Charnwood Local Shopping Centre (Tillyard Dr),,,-35.198667,149.044148,"(-35.198667, 149.044148)"
Drfn305,Coombs,2611,Beecroft Street Neighbourhood Park,,,-35.319023,149.039351,"(-35.319023, 149.039351)"
Drfn307,Fyshwick,2609,Jerrabomberra Wetlands Nature Reserve,,,-35.313575,149.161433,"(-35.313575, 149.161433)"
Drfn260,Barton,2600,Bowen Park,,,-35.308039,149.139848,"(-35.308039, 149.139848)"
Drfn310,Kambah,2902,Kambah Local Shopping Centre,,,-35.384288,149.072311,"(-35.384288, 149.072311)"
Drfn271,Molonglo Valley ,2611,National Arboretum Of Canberra,,,-35.287328,149.069094,"(-35.287328, 149.069094)"
Drfn253,Molonglo Valley ,2611,National Arboretum Canberra Platspace,,,-35.287028,149.068577,"(-35.287028, 149.068577)"
Drfn252,Molonglo Valley ,2611,National Arboretum  Canberra Playspace,,,-35.287286,149.068947,"(-35.287286, 149.068947)"
Drfn311,Lawson,2617,Wanderlight Avenue Neibourhood Playground,,,-35.229428,149.091824,"(-35.229428, 149.091824)"
Drfn312,Kingston,2604,Trevillian Quay Pedestrian Parkland,,,-35.310789,149.14799,"(-35.310789, 149.14799)"
Drfn314,Kingston,2604,Trevillian Quay Road Verge,,,-35.311432,149.145854,"(-35.311432, 149.145854)"
Drfn313,Kingston,2604,Trevillian Quay Pedestrian Parkland,,,-35.310356,149.145179,"(-35.310356, 149.145179)"
Drfn131,Griffith,2603,Griffith Shopping Centre,,,-35.328432,149.142461,"(-35.328432, 149.142461)"
Drfn28,Isaacs,2607,Dumolo Place  Neighbourhood Park,,,-35.368087,149.111343,"(-35.368087, 149.111343)"
Drfn229,Forde,2914,Bruce Dittmar Central Neighbourhood Park,,,-35.176007,149.144982,"(-35.176007, 149.144982)"
Drfn46,Dickson,2602,Dickson Shopping Centre,,,-35.250431,149.139634,"(-35.250431, 149.139634)"
Drfn150,Yarralumla,2600,Weston Park,,,-35.291201,149.090026,"(-35.291201, 149.090026)"
Drfn202,Weston Creek ,2611,Lady Denman Drive - Pedestrian Parkland,,,-35.30053,149.073052,"(-35.30053, 149.073052)"
Drfn291,Majura ,2609,Mount Ainslie Nature Reserve,,,-35.270011,149.157947,"(-35.270011, 149.157947)"
Drfn246,Canberra ,2600,Lady Denman Drive Road Verge,,,-35.285145,149.088124,"(-35.285145, 149.088124)"
Drfn210,Canberra ,2600,Black Mountain,,,-35.274959,149.097714,"(-35.274959, 149.097714)"
