postcode,postcode1,suburb,centile,liveable_h,rank,state,school,type,latitude,longitude,households,income,suburb.y,suburb.x,state.x,state.y,adultpop
2607-isaacs,2607,isaacs,74,0,136,ACT,0.69,Delivery Area,-35.366298,149.112868,2132498.5,2635.97,isaacs,isaacs,ACT,ACT,2392.739135
2607-mawson,2607,mawson,87,1,91,ACT,0.77,Delivery Area,-35.36417,149.094507,2668677.5,2196.44,mawson,mawson,ACT,ACT,3593.545178
2607-pearce,2607,pearce,90,1,60,ACT,0.75,Delivery Area,-35.365002,149.081687,2183523,2381.16,pearce,pearce,ACT,ACT,2712.165373
2607-torrens,2607,torrens,87,1,92,ACT,0.71,Delivery Area,-35.372097,149.085985,1754853.5,2499.79,torrens,torrens,ACT,ACT,2076.270547
2608-civic square,2608,civic square,80,1,130,ACT,0.75,Post Office Boxes,-35.282868,149.129372,0,0,civic square,civic square,ACT,ACT,0
2609-canberra international airport,2609,canberra international airport,89,1,74,ACT,0.76,Delivery Area,-35.303411,149.194007,0,0,canberra international airport,canberra international airport,ACT,ACT,0
2609-fyshwick,2609,fyshwick,87,1,93,ACT,0.72,Delivery Area,-35.328937,149.176391,-,-,fyshwick,fyshwick,ACT,ACT,0
2609-majura,2609,majura,89,1,75,ACT,0.75,Delivery Area,-35.291673,149.190655,144855.5,3448.94,majura,majura,ACT,ACT,124.2213148
2609-pialligo,2609,pialligo,90,1,61,ACT,0.82,Delivery Area,-35.304257,149.179244,0,0,pialligo,pialligo,ACT,ACT,0
2609-symonston,2609,symonston,79,0,133,ACT,0.68,Delivery Area,-35.347404,149.158785,0,0,symonston,symonston,ACT,ACT,0
2611-chapman,2611,chapman,92,1,45,ACT,0.8,Delivery Area,-35.356503,149.042021,2497098,3052.69,chapman,chapman,ACT,ACT,2419.357988
2611-duffy,2611,duffy,96,1,18,ACT,0.89,Delivery Area,-35.337331,149.031759,2401455,2370.64,duffy,duffy,ACT,ACT,2996.099807
2611-fisher,2611,fisher,97,1,7,ACT,0.8,Delivery Area,-35.361906,149.056369,2327809,2231.84,fisher,fisher,ACT,ACT,3084.829317
2611-holder,2611,holder,86,1,103,ACT,0.66,Delivery Area,-35.336947,149.044141,2121417,2300.89,holder,holder,ACT,ACT,2726.953625
2611-mount stromlo,2611,mount stromlo,95,1,27,ACT,0.81,Delivery Area,-35.322524,149.006418,0,0,mount stromlo,mount stromlo,ACT,ACT,0
2611-pierces creek,2611,pierces creek,96,1,19,ACT,0.87,Delivery Area,-35.335104,148.920364,0,0,pierces creek,pierces creek,ACT,ACT,0
2611-rivett,2611,rivett,97,1,8,ACT,0.89,Delivery Area,-35.347161,149.03589,2331990,2045.61,rivett,rivett,ACT,ACT,3371.721401
2611-stirling,2611,stirling,90,1,62,ACT,0.76,Delivery Area,-35.3486,149.049348,1556442.5,2302.43,stirling,stirling,ACT,ACT,1999.371638
2611-uriarra,2611,uriarra,85,1,111,ACT,0.67,Delivery Area,-35.244478,148.950667,0,0,uriarra,uriarra,ACT,ACT,0
2611-uriarra forest,2611,uriarra forest,86,1,104,ACT,0.74,Delivery Area,-35.289483,148.913247,0,0,uriarra forest,uriarra forest,ACT,ACT,0
