postcode,suburb,centile,ds,liveable_h,rank,state,school,type,latitude,longitude,households,income,suburb.y,suburb.x,state.x,state.y,adultpop
2607-mawson,Mawson,82,63,1,43,ACT,0.77,Delivery Area,-35.36417,149.094507,267,2196.44,mawson,mawson,ACT,ACT,3593.545178
2607-pearce,Pearce,80,62,1,63,ACT,0.75,Delivery Area,-35.365002,149.081687,218,2381.16,pearce,pearce,ACT,ACT,2712.165373
2607-torrens,Torrens,78,60,0,81,ACT,0.71,Delivery Area,-35.372097,149.085985,176,2499.79,torrens,torrens,ACT,ACT,2076.270547
2608-civic square,Civic Square,75,58,0,95,ACT,0.75,Post Office Boxes,-35.282868,149.129372,0,0,civic square,civic square,ACT,ACT,0
2609-canberra international airport,Canberra International Airport,84,65,1,34,ACT,0.76,Delivery Area,-35.303411,149.194007,0,0,canberra international airport,canberra international airport,ACT,ACT,0
2609-fyshwick,Fyshwick,62,48,0,135,ACT,0.72,Delivery Area,-35.328937,149.176391,0,0,fyshwick,fyshwick,ACT,ACT,0
2609-majura,Majura,81,62,1,52,ACT,0.75,Delivery Area,-35.291673,149.190655,15,3448.94,majura,majura,ACT,ACT,124.2213148
2609-pialligo,Pialligo,83,64,1,39,ACT,0.82,Delivery Area,-35.304257,149.179244,0,0,pialligo,pialligo,ACT,ACT,0
2609-symonston,Symonston,73,56,0,103,ACT,0.68,Delivery Area,-35.347404,149.158785,0,0,symonston,symonston,ACT,ACT,0
2611-chapman,Chapman,87,67,1,14,ACT,0.8,Delivery Area,-35.356503,149.042021,250,3052.69,chapman,chapman,ACT,ACT,2419.357988
2611-duffy,Duffy,89,68,1,6,ACT,0.89,Delivery Area,-35.337331,149.031759,240,2370.64,duffy,duffy,ACT,ACT,2996.099807
2611-fisher,Fisher,65,50,0,131,ACT,0.8,Delivery Area,-35.361906,149.056369,233,2231.84,fisher,fisher,ACT,ACT,3084.829317
2611-holder,Holder,76,58,0,89,ACT,0.66,Delivery Area,-35.336947,149.044141,212,2300.89,holder,holder,ACT,ACT,2726.953625
2611-mount stromlo,Mount Stromlo,83,64,1,40,ACT,0.81,Delivery Area,-35.322524,149.006418,0,0,mount stromlo,mount stromlo,ACT,ACT,0
2611-pierces creek,Pierces Creek,71,55,0,114,ACT,0.87,Delivery Area,-35.335104,148.920364,0,0,pierces creek,pierces creek,ACT,ACT,0
2611-rivett,Rivett,88,68,1,10,ACT,0.89,Delivery Area,-35.347161,149.03589,233,2045.61,rivett,rivett,ACT,ACT,3371.721401
2611-stirling,Stirling,85,65,1,25,ACT,0.76,Delivery Area,-35.3486,149.049348,156,2302.43,stirling,stirling,ACT,ACT,1999.371638
2611-uriarra,Uriarra,80,62,1,64,ACT,0.67,Delivery Area,-35.244478,148.950667,0,0,uriarra,uriarra,ACT,ACT,0
2611-uriarra forest,Uriarra Forest,80,62,1,65,ACT,0.74,Delivery Area,-35.289483,148.913247,0,0,uriarra forest,uriarra forest,ACT,ACT,0
2611-waramanga,Waramanga,83,64,1,41,ACT,0.69,Delivery Area,-35.352761,149.060415,207,2211.86,waramanga,waramanga,ACT,ACT,2765.403079
2611-weston,Weston,78,60,0,82,ACT,0.77,Delivery Area,-35.341365,149.052288,280,2371.56,weston,weston,ACT,ACT,3492.985066
2611-weston creek,Weston Creek,70,54,0,119,ACT,0.58,Delivery Area,-35.297434,149.033649,0,0,weston creek,weston creek,ACT,ACT,0
2612-braddon,Braddon,74,57,0,98,ACT,0.65,Delivery Area,-35.270615,149.133208,491,2152.52,braddon,braddon,ACT,ACT,6740.485153
2612-campbell,Campbell,81,62,1,53,ACT,0.75,Delivery Area,-35.290006,149.153091,304,2794.11,campbell,campbell,ACT,ACT,3214.965933
2612-reid,Reid,84,65,1,35,ACT,0.76,Delivery Area,-35.282992,149.141637,137,1976.84,reid,reid,ACT,ACT,2043.736393
2612-turner,Turner,82,63,1,44,ACT,0.72,Delivery Area,-35.271229,149.118368,372,2183.75,turner,turner,ACT,ACT,5030.963249
2614-aranda,Aranda,86,66,1,21,ACT,0.84,Delivery Area,-35.257964,149.075648,209,2722.72,aranda,aranda,ACT,ACT,2271.47547
2614-cook,Cook,85,65,1,26,ACT,0.84,Delivery Area,-35.260549,149.064613,241,2210.27,cook,cook,ACT,ACT,3223.838884
2614-hawker,Hawker,86,66,1,22,ACT,0.77,Delivery Area,-35.247384,149.034535,257,2442.3,hawker,hawker,ACT,ACT,3117.363471
2614-jamison centre,Jamison Centre,89,68,1,7,ACT,0.75,Delivery Area,-35.253292,149.071291,0,0,jamison centre,jamison centre,ACT,ACT,0
2614-macquarie,Macquarie,85,65,1,27,ACT,0.72,Delivery Area,-35.251259,149.063625,199,2001.02,macquarie,macquarie,ACT,ACT,2945.819751
2614-page,Page,84,65,1,36,ACT,0.73,Delivery Area,-35.239696,149.049056,192,1783.9,page,page,ACT,ACT,3188.34708
2614-scullin,Scullin,87,67,1,15,ACT,0.81,Delivery Area,-35.233152,149.040779,189,1868.72,scullin,scullin,ACT,ACT,2990.184506
2614-weetangera,Weetangera,73,56,0,104,ACT,0.66,Delivery Area,-35.246194,149.050592,234,2997.74,weetangera,weetangera,ACT,ACT,2309.924925
2615-charnwood,Charnwood,75,58,0,96,ACT,0.66,Delivery Area,-35.199345,149.030062,174,1693.9,charnwood,charnwood,ACT,ACT,3031.591611
2615-dunlop,Dunlop,78,60,0,83,ACT,0.73,Delivery Area,-35.198771,149.017199,510,2387.42,dunlop,dunlop,ACT,ACT,6320.498803
2615-florey,Florey,72,55,0,107,ACT,0.81,Delivery Area,-35.226376,149.051672,331,2035.2,florey,florey,ACT,ACT,4812.097123
2615-flynn,Flynn,71,55,0,115,ACT,0.74,Delivery Area,-35.200937,149.049519,0,0,flynn,flynn,ACT,ACT,0
2615-fraser,Fraser,71,55,0,116,ACT,0.72,Delivery Area,-35.192811,149.042736,160,2489.89,fraser,fraser,ACT,ACT,1898.811526
2615-higgins,Higgins,72,55,0,108,ACT,0.71,Delivery Area,-35.231052,149.027686,202,1966.27,higgins,higgins,ACT,ACT,3031.591611
2615-holt,Holt,72,55,0,109,ACT,0.73,Delivery Area,-35.225448,149.016787,309,1716.27,holt,holt,ACT,ACT,5332.643585
2615-kippax,Kippax,69,53,0,123,ACT,0.69,Delivery Area,-35.221958,149.020133,0,0,kippax,kippax,ACT,ACT,0
2615-latham,Latham,72,55,0,110,ACT,0.76,Delivery Area,-35.219561,149.032478,242,2041.66,latham,latham,ACT,ACT,3507.773318
2615-macgregor,Macgregor,65,50,0,132,ACT,0.75,Delivery Area,-35.215852,149.014395,0,0,macgregor,macgregor,ACT,ACT,0
2615-melba,Melba,67,52,0,128,ACT,0.64,Delivery Area,-35.211034,149.049966,232,2225.8,melba,melba,ACT,ACT,3081.871667
2615-spence,Spence,80,62,1,66,ACT,0.71,Delivery Area,-35.199588,149.062181,181,2213.42,spence,spence,ACT,ACT,2419.357988
2616-belconnen,Belconnen,79,61,0,74,ACT,0.74,Post Office Boxes,-35.248442,149.070336,462,1777.3,belconnen,belconnen,ACT,ACT,7689.890916
2617-belconnen,Belconnen,85,65,1,28,ACT,0.81,Delivery Area,-35.236234,149.067347,462,1777.3,belconnen,belconnen,ACT,ACT,7689.890916
